Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Max Ramsden,HAW,0.233547,0,0,0
Ned Reeves,HAW,0.506202,0,0,0
Bodie Ryan,HAW,0.0798687,0,0,0
Jasper Scaife,HAW,0.0958424,0,0,0
Jack Scrimshaw,HAW,0.240157,0,0,0
Jai Serong,HAW,0.611959,0,0,0
Nick Watson,HAW,1.80448,0,0,0
Josh Weddle,HAW,2.08705,0,0,0
James Worpel,HAW,0.196091,0,0,0
Jack Billings,MEL,0.256681,0,0,0
Kynan Brown,MEL,0.327737,0,0,0
Tom Campbell,MEL,0.788221,0,0,0
Bayley Fritsch,MEL,0.851015,0,0,0
Tom Fullarton,MEL,0.0721572,0,0,0
Marty Hore,MEL,0.0385573,0,0,0
Blake Howes,MEL,0.148721,0,0,0
Luker Kentfield,MEL,0.0192786,0,0,0
Ed Langdon,MEL,0.196091,0,0,0
Bailey Laurie,MEL,1.04325,0,0,0
Jake Lever,MEL,1.3765,0,0,0
Steven May,MEL,0.577258,0,0,0
Shane McAdam,MEL,0.0385573,0,0,0
Tom McDonald,MEL,0.168,0,0,0
Judd McVee,MEL,0.076013,0,0,0
