player.playerId,Player
CD_I1005053,Noah Answerth
CD_I1028560,Levi Ashcroft
CD_I1023517,Will Ashcroft
CD_I1002312,Zac Bailey
CD_I998133,Jarrod Berry
CD_I993834,Josh Dunkley
CD_I1023708,Jaspa Fletcher
CD_I298211,Darcy Fort
CD_I993953,Eric Hipwood
CD_I291548,Ryan Lester
CD_I1014026,Kai Lohmann
CD_I1000978,Hugh McCluggage
CD_I1005521,Oscar McInerney
CD_I997846,Conor McKenna
CD_I1028019,Logan Morris
CD_I293535,Lachie Neale
CD_I1002347,Jack Payne
CD_I1002235,Cam Rayner
CD_I1002401,Brandon Starcevich
CD_I1017067,Darcy Wilmot
CD_I261224,Dayne Zorko
CD_I1000864,Lachlan Bramble
CD_I1015929,Luke Cleary
CD_I996708,Bailey Dale
CD_I1017126,Sam Darcy
CD_I1036123,Sam Davidson
CD_I1034235,Josh Dolan
CD_I290085,Taylor Duryea
CD_I1004592,Tim English
CD_I1027704,Joel Freijah
CD_I1017087,Harvey Gallagher
CD_I297899,James Harmes
CD_I1020586,Arthur Jones
CD_I1001398,Matthew Kennedy
CD_I290799,Tom Liberatore
CD_I990740,Rory Lobb
CD_I1009015,Lachlan McNeil
CD_I1002404,Aaron Naughton
CD_I1032966,James O'Donnell
CD_I1008280,Ed Richards
CD_I1017939,Ryley Sanders
CD_I1005000,Laitham Vandermeer
CD_I1006127,Rhylee West
CD_I992351,Bailey Williams
CD_I1020968,Jackson Archer
CD_I1015781,Charlie Comben
CD_I294508,Aidan Corr
CD_I1002947,Paul Curtis
CD_I295136,Caleb Daniel
CD_I290838,Jack Darling
CD_I1002267,Luke Davies-Uniacke
CD_I1023144,Robert Hansen Jr
CD_I1023530,Jacob Konstanty
CD_I1001017,Nick Larkey
CD_I997933,Griffin Logue
CD_I296355,Luke McDonald
CD_I1024272,Colby McKercher
CD_I1028495,Finn O'Sullivan
CD_I290778,Luke Parker
CD_I1012829,Will Phillips
CD_I1011659,Tom Powell
CD_I1006058,Bailey Scott
CD_I1023518,Harry Sheezel
CD_I993998,Jy Simpkin
CD_I993816,Darcy Tucker
