Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Jesse Hogan,GWS,1.08367,0,0,0
Connor Idun,GWS,0.214266,0,0,0
Darcy Jones,GWS,0.464991,0,0,0
Nicholas Madden,GWS,0.159858,0,0,0
Toby McMullin,GWS,0.0286062,0,0,0
Xavier O'Halloran,GWS,0.919886,0,0,0
Harrison Oliver,GWS,0.274283,0,0,0
Jack Ough,GWS,0.158175,0,0,0
Jake Riccardi,GWS,0.0459943,0,0,0
Harry Rowston,GWS,0.212583,0,0,0
Logan Smith,GWS,0.218753,0,0,0
Jake Stringer,GWS,0.329252,0,0,0
Harvey Thomas,GWS,0.0549688,0,0,0
Callan Ward,GWS,0.335983,0,0,0
Nathan Wardius,GWS,0.0364589,0,0,0
Jacob Wehr,GWS,0.225484,0,0,0
Tom Barrass,HAW,1.20931,0,0,0
Josh Battle,HAW,0.889597,0,0,0
James Blanck,HAW,0.0695523,0,0,0
Luke Breust,HAW,0.519399,0,0,0
Sam Butler,HAW,0.127326,0,0,0
Mabior Chol,HAW,0.599608,0,0,0
Massimo D'Ambrosio,HAW,2.18305,0,0,0
Calsher Dear,HAW,0.238946,0,0,0
Sam Frost,HAW,1.4348,0,0,0
Jack Ginnivan,HAW,1.9542,0,0,0
Jack Gunston,HAW,0.143031,0,0,0
Blake Hardwick,HAW,0.451529,0,0,0
Matt Hill,HAW,0.808826,0,0,0
Henry Hustwaite,HAW,0.970367,0,0,0
Jarman Impey,HAW,0.325886,0,0,0
Changkuoth Jiath,HAW,0.263626,0,0,0
Mitch Lewis,HAW,0.228289,0,0,0
Bailey Macdonald,HAW,0.148079,0,0,0
Connor Macdonald,HAW,0.671404,0,0,0
Finn Maginness,HAW,1.24521,0,0,0
William McCabe,HAW,0.16715,0,0,0
Seamus Mitchell,HAW,0.305133,0,0,0
Harry Morrison,HAW,0.518277,0,0,0
Noah Mraz,HAW,0.138544,0,0,0
Conor Nash,HAW,0.430776,0,0,0
Max Ramsden,HAW,0.246799,0,0,0
Ned Reeves,HAW,0.539031,0,0,0
Bodie Ryan,HAW,0.0830141,0,0,0
Jasper Scaife,HAW,0.095354,0,0,0
Jack Scrimshaw,HAW,0.311864,0,0,0
Jai Serong,HAW,0.672526,0,0,0
Josh Ward,HAW,0.539592,0,0,0
Nick Watson,HAW,1.72198,0,0,0
Josh Weddle,HAW,2.22567,0,0,0
James Worpel,HAW,0.209779,0,0,0
Jack Billings,MEL,0.277648,0,0,0
Kynan Brown,MEL,0.341592,0,0,0
Tom Campbell,MEL,0.81107,0,0,0
Kade Chandler,MEL,0.173881,0,0,0
Bayley Fritsch,MEL,0.949614,0,0,0
Tom Fullarton,MEL,0.071796,0,0,0
Marty Hore,MEL,0.041507,0,0,0
Blake Howes,MEL,0.16098,0,0,0
Luker Kentfield,MEL,0.0185099,0,0,0
Ed Langdon,MEL,0.202487,0,0,0
Bailey Laurie,MEL,1.12518,0,0,0
Steven May,MEL,0.65626,0,0,0
Shane McAdam,MEL,0.0403852,0,0,0
