playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ranking,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1005453,2025,2,Rebecca,Beeson,2,CD_T7889,GWS,GWS GIANTS,GIANTS,2,84,0,0,28,3,8,0,0,0,0,56.1,23,0,0,0,20,75.6,41,158,31,16,2,7,3,0,2,0,16,18,0,0,0,0,2,0,7,69.6,0,0,23,1.3,5,2,0,440,2,36,0,0,2,0,7,0,0,0,10,14,1,13,41,8,18
CD_I1005630,2025,2,Alexandra,Anderson,2,CD_T7887,BL,Brisbane Lions,Lions,2,82.6,0,2,29,3,8,0,0,0,0,46.8,22,0,0,0,18,60.9,46,145,28,13,2,4,1,0,1,0,18,21,0,0,0,0,9,0,11,52,0,0,25,1.2,5,0,1,622,0,32,0,0,4,0,5,0,0,0,4,6,0,7,47,7,25
CD_I1005659,2025,2,Arianna,Clarke,2,CD_T8796,EUR,Euro-Yroke,St Kilda,2,45.6,0,0,7,0,5,0,0,0,0,50,2,0,0,0,15,0,4,33,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0.3,1,0,0,29,1,20,0,0,1,1,0,0,0,0,0,6,1,0,4,3,2
CD_I1005661,2025,2,Breanna,Koenen,2,CD_T7887,BL,Brisbane Lions,Lions,2,93.4,0,0,16,1,3,0,0,0,1,46.7,14,0,0,0,12,62.1,29,145,18,12,1,1,1,0,1,0,11,8,0,0,0,0,4,0,13,57.1,0,0,21,2.6,8,2,0,405,3,29,0,0,2,0,3,0,0,1,0,11,1,1,30,6,16
CD_I1005663,2025,2,Erica,Fowler,2,CD_T8467,GEEL,Geelong Cats,Cats,1,69.7,1,0,2,0,3,0,0,0,0,40,4,1,1,100,5,72.7,11,47,8,5,1,3,1,0,0,0,3,4,4,2,50,25,3,0,6,71.4,0,0,7,1.8,3,0,0,144,0,5,0,0,1,16,1,0,1,0,0,3,0,0,10,2,6
CD_I1005863,2025,2,Lauren,Pearce,2,CD_T7386,NAR,Narrm,Demons,2,67.4,0,0,21,3,3,1,14.3,7,2,77.3,17,0,0,0,3,59.1,22,112,13,4,1,0,4,0,0,0,6,13,31,10,32.3,49.2,3,0,8,44.4,0,0,9,0.7,4,0,0,164,4,7,0,0,1,63,10,0,0,3,4,3,0,7,22,7,5
CD_I1005865,2025,2,Jessica,Hosking,2,CD_T8787,WAA,Waalitj Marawar,Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1005866,2025,2,Ainslie,Kemp,2,CD_T9407,HAW,Hawthorn,Hawks,1,89.8,1,0,0,0,1,2,50,4,0,60,6,0,0,0,2,60,15,53,9,8,0,0,1,0,0,0,4,3,0,0,0,0,1,0,9,66.7,6,5,12,4,3,0,0,407,3,3,0,0,6,0,2,0,1,2,0,0,0,0,10,7,4
CD_I1005955,2025,2,Justine,Mules-Robinson,2,CD_T9409,YAR,Yartapuulti,Power,2,78.3,0,0,0,0,5,0,0,0,1,57.9,11,3,1,33.3,7,57.9,19,104,11,7,4,2,3,100,1,2,7,4,0,0,0,0,3,0,0,46.7,0,0,15,3.8,2,1,1,211,2,31,0,0,0,0,4,0,2,2,1,9,2,1,19,6,8
CD_I1006666,2025,2,Sarah,Hosking,2,CD_T8788,RICH,Richmond,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1006996,2025,2,Lauren,Brazzale,2,CD_T8788,RICH,Richmond,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1006997,2025,2,Stephanie,Cain,2,CD_T9406,ESS,Essendon,Bombers,2,86.9,0,0,12,3,7,0,0,0,0,41.9,13,0,0,0,17,63.6,33,112,21,6,1,2,0,0,0,0,9,22,0,0,0,0,5,0,6,54.5,0,0,11,0.5,3,1,0,380,3,38,0,0,0,0,3,0,1,1,1,8,0,4,31,9,18
CD_I1007001,2025,2,Kate,Darby,2,CD_T8467,GEEL,Geelong Cats,Cats,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1007006,2025,2,Jas,Grierson,2,CD_T9408,SYD,Sydney Swans,Swans,2,72.8,0,0,0,0,3,0,0,2,0,38.9,7,0,0,0,14,73.7,19,83,14,10,0,1,3,0,0,0,2,6,0,0,0,0,2,0,9,76.9,2,2,13,2.2,4,0,0,287,6,15,0,0,4,0,4,0,0,3,1,5,0,1,18,4,11
