playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1015091,2025,1,Sarah,Hartwig,1,CD_T7387,WB,Western Bulldogs,Bulldogs,1,85.4,0,1,0,0,2,0,0,0,0,37.5,3,0,0,0,4,50,8,40,4,1,0,0,1,0,0,0,2,5,0,0,0,0,1,0,0,33.3,0,0,3,0.6,4,0,2,74.6,1,9,0,0,0,1,0,0,0,0,2,0,0,8,3,5
CD_I1015094,2025,1,Alice,Burke,1,CD_T8796,STK,St Kilda,St Kilda,1,66.6,0,0,0,0,1,0,0,0,0,66.7,8,0,0,0,5,83.3,12,38,10,4,0,0,1,0,0,0,6,7,0,0,0,0,0,0,7,80,0,0,5,0.7,0,0,0,140.3,1,8,0,3,0,1,1,0,1,2,2,0,2,12,1,4
CD_I1015097,2025,1,Bella,Eddey,1,CD_T8466,NMFC,Kangaroos,Kangaroos,1,78.9,0,0,0,0,1,0,0,0,0,61.5,8,0,0,0,2,64.3,14,51,9,4,2,0,0,100,0,1,7,8,0,0,0,0,2,0,4,66.7,0,0,6,0.8,1,0,0,135.9,0,10,0,0,0,2,0,1,0,2,2,1,2,13,2,5
CD_I1015105,2025,1,Daisy,Walker,1,CD_T7889,GWS,GWS GIANTS,GIANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015124,2025,1,Ruby,Tripodi,1,CD_T8466,NMFC,Kangaroos,Kangaroos,1,69.4,0,0,8,0,4,0,0,0,0,41.2,7,0,0,0,2,64.7,17,54,11,5,2,0,1,0,0,0,7,8,0,0,0,0,3,0,2,55.6,0,0,9,1.1,2,0,0,253.9,0,8,0,1,0,1,0,0,0,1,1,0,1,17,3,10
CD_I1015137,2025,1,Isabelle,Pritchard,1,CD_T7387,WB,Western Bulldogs,Bulldogs,1,75.7,0,0,10,0,4,0,0,0,0,53.3,8,0,0,0,7,46.2,13,47,6,3,2,3,2,0,0,0,6,4,0,0,0,0,3,0,5,33.3,0,0,9,2.3,1,0,0,223.6,1,10,0,1,0,2,1,0,0,2,4,1,2,15,6,7
CD_I1015147,2025,1,Charlotte,Baskaran,1,CD_T8796,STK,St Kilda,St Kilda,1,80.1,0,3,0,0,3,0,0,0,0,36.8,7,1,0,0,8,63.2,19,79,12,7,2,1,2,0,0,0,5,7,0,0,0,0,1,0,0,58.3,0,0,12,1.7,6,0,0,258.3,2,11,0,2,0,2,1,0,2,4,3,1,4,19,3,12
CD_I1015152,2025,1,Montana,Ham,1,CD_T9408,SYD,Sydney Swans,Swans,1,59.1,3,1,9,0,6,0,0,0,1,55.6,10,1,1,100,3,57.9,19,75,11,4,2,2,2,0,2,0,7,8,0,0,0,0,5,1,2,36.4,0,0,11,1.4,5,3,1,316.5,0,12,0,2,1,6,3,3,0,3,3,1,3,18,5,8
CD_I1015163,2025,1,Kiera,Whiley,1,CD_T8796,STK,St Kilda,St Kilda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015174,2025,1,Ash,Van Loon,1,CD_T9408,SYD,Sydney Swans,Swans,1,81,0,0,0,0,5,0,0,2,0,63.6,7,0,0,0,5,18.2,11,49,2,2,0,1,3,0,0,0,4,2,0,0,0,0,1,1,8,22.2,0,0,9,4.5,2,0,0,162.2,3,6,0,3,0,0,0,0,3,0,3,0,0,11,6,4
CD_I1015175,2025,1,Tess,Craven,1,CD_T8466,NMFC,Kangaroos,Kangaroos,1,66.2,0,0,0,0,3,0,0,0,0,37.5,3,0,0,0,6,70,10,38,7,4,0,0,1,0,0,0,2,4,0,0,0,0,2,0,3,66.7,1,1,6,1.5,1,0,0,228.5,1,9,0,1,0,0,0,0,1,0,2,0,0,8,5,5
CD_I1015181,2025,1,Darcy,Moloney,1,CD_T9408,SYD,Sydney Swans,Swans,1,78.5,1,0,3,0,0,0,0,0,0,25,2,0,0,0,1,75,8,47,6,1,1,0,0,50,0,1,2,5,0,0,0,0,1,0,0,33.3,0,0,3,0.6,3,1,0,121.7,0,8,0,0,0,6,1,2,0,1,3,2,1,8,0,6
CD_I1015182,2025,1,Mia,Van Dyke,1,CD_T9406,ESS,Essendon,Bombers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015189,2025,1,Keeley,Hardingham,1,CD_T7387,WB,Western Bulldogs,Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015193,2025,1,Gabbi,Featherston,1,CD_T8467,GEEL,Geelong Cats,Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1015195,2025,1,Annie,Lee,1,CD_T8097,COLL,Collingwood,Magpies,1,50.7,0,0,0,0,0,0,0,0,0,25,1,0,0,0,2,75,4,18,3,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,66.7,0,0,3,3,1,0,0,81.3,0,4,0,2,0,0,0,0,0,0,1,0,0,4,2,3
CD_I1015201,2025,1,Analea,McKee,1,CD_T7387,WB,Western Bulldogs,Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1016781,2025,1,Ella,Maurer,1,CD_T8786,GCFC,Gold Coast SUNS,SUNS,1,82.2,0,0,0,0,2,0,0,0,0,50,5,0,0,0,6,83.3,12,53,10,4,1,0,0,0,0,0,5,6,0,0,0,0,0,0,4,66.7,2,2,6,1,1,0,0,92.5,1,8,0,2,0,1,1,0,0,0,5,1,0,10,3,5
