playerId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1022738,2025,1,Ruby Sargent-Wilson,DEF,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1022744,2025,1,Madeline Hendrie,RUC,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1022745,2025,1,Ella Heads,DEF,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022775,2025,1,Lucia Painter,MID,Eagles,1,9.09090909090909,11,0,8,0,,0,0,51,0
CD_I1022776,2025,1,Caitlin Wendland,FWD,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1022818,2025,1,Sarah Lakay,RUC,Eagles,2,18.1818181818182,11,0,8,0,,0,13,51,25.4901960784314
CD_I1022823,2025,1,Ella Roberts,MID,Eagles,8,72.7272727272727,11,0,8,0,,0,0,51,0
CD_I1022825,2025,1,Lauren Wakfer,RUC,Eagles,0,0,11,0,8,0,,0,3,51,5.88235294117647
CD_I1022885,2025,1,Taylah Gatt,MID,Kangaroos,0,0,15,0,3,0,,0,0,62,0
CD_I1023389,2025,1,Chloe Adams,MID,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1023427,2025,1,Lilu Hung,FWD,St Kilda,0,0,11,0,7,0,,0,0,54,0
CD_I1023433,2025,1,Sara Howley,MID,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1023815,2025,1,Abbygail Bushby,FWD,Eagles,7,63.6363636363636,11,0,8,0,,0,0,51,0
CD_I1023842,2025,1,Zippy Fish,MID,Swans,0,0,16,6,8,6,100,75,0,61,0
CD_I1023857,2025,1,Georgie Cleaver,DEF,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1023943,2025,1,Matilda Scholz,RUC,Power,14,100,14,0,4,0,,0,50,61,81.9672131147541
CD_I1023946,2025,1,Georgia McKee,FWD,Crows,0,0,11,0,5,0,,0,0,54,0
CD_I1023948,2025,1,Poppy Scholz,DEF,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1023950,2025,1,Alissa Brook,DEF,Power,0,0,14,0,4,0,,0,9,61,14.7540983606557
CD_I1023952,2025,1,Lucy Boyd,DEF,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1023956,2025,1,Jemma Charity,FWD,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1024085,2025,1,India Rasheed,MID,Crows,0,0,11,0,5,0,,0,0,54,0
CD_I1024294,2025,1,Lulu Pullar,DEF,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1024296,2025,1,Rachel Kearns,DEF,Cats,0,0,15,2,3,1,200,66.6666666666667,0,61,0
CD_I1024535,2025,1,Darcie Davies,RUC,SUNS,3,27.2727272727273,11,0,5,0,,0,20,52,38.4615384615385
CD_I1024536,2025,1,Tara Harrington,MID,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1024541,2025,1,Sienna McMullen,DEF,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1024549,2025,1,Nyalli Milne,MID,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1024552,2025,1,Havana Harris,RUC,SUNS,0,0,11,0,5,0,,0,4,52,7.69230769230769
CD_I1024553,2025,1,Kaylee Kimber,DEF,Bulldogs,0,0,14,0,8,0,,0,0,55,0
CD_I1024563,2025,1,Jacinta Baldwick,MID,Lions,0,0,10,0,9,0,,0,0,57,0
CD_I1024573,2025,1,Kiara Hillier,DEF,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1024584,2025,1,Fleur Davies,RUC,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1024636,2025,1,Lily Johnson,DEF,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1024984,2025,1,Ally Dallaway,MID,Richmond,11,68.75,16,0,10,0,,0,0,62,0
CD_I1025163,2025,1,Jacqueline Dupuy,FWD,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1025419,2025,1,Ashley Centra,MID,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1025421,2025,1,Amber Schutte,DEF,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1025428,2025,1,Jessica Rentsch,DEF,Eagles,8,72.7272727272727,11,0,8,0,,0,0,51,0
CD_I1025494,2025,1,Meg Robertson,MID,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1025507,2025,1,Emily Everist,DEF,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1025517,2025,1,Heidi Woodley,FWD,Bulldogs,0,0,14,0,8,0,,0,0,55,0
CD_I1025521,2025,1,Kyla Forbes,DEF,St Kilda,0,0,11,0,7,0,,0,0,54,0
CD_I1025525,2025,1,Amy Gaylor,MID,Bombers,14,70,20,0,10,0,,0,0,55,0
CD_I1025526,2025,1,Kayley Kavanagh,MID,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1025548,2025,1,Georgia Knight,FWD,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1025550,2025,1,Georgie Brisbane,FWD,Freo,0,0,14,0,6,0,,0,0,61,0
CD_I1025564,2025,1,Mia Austin,FWD,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1025565,2025,1,Grace Belloni,MID,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1025609,2025,1,Lucille Cronin,DEF,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1025611,2025,1,Sarah Poustie,MID,Bulldogs,8,57.1428571428571,14,0,8,0,,0,0,55,0
CD_I1025613,2025,1,Sienna Tallariti,DEF,Cats,0,0,15,0,3,0,,0,0,61,0
CD_I1025615,2025,1,Charlotte Brewer,DEF,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1025616,2025,1,Lara Hausegger,DEF,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1025617,2025,1,Maggie Mahony,MID,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1025631,2025,1,Amelie Gladman,FWD,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1025671,2025,1,Daisy Flockart,MID,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1025674,2025,1,Emily Gough,FWD,Bombers,0,0,20,0,10,0,,0,0,55,0
