Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,19,CD_I295342,Jake Lloyd,160,SYD,DEF/MID,878000,426900,109,74,69,CD_M20250141907,85,0,0,0,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,0.994974,0,0,0,4.57,0.2,0,0,9816.75480328484,92,5004.09030503944,99,GWS Giants,89.4389253469188,85.3102110427713
2025,19,CD_I1006314,Dylan Moore,80,HAW,FWD,867000,434800,115,97,143,CD_M20250141909,91,4,0,17,0,23,7,Hawthorn,Port Adelaide,home,UTAS Stadium,W,6.22166,1.4,1,0,19.1,12.3,10,0,9816.75480328484,65,5004.09030503944,111,Carlton,88.3183921136431,86.8889195628881
2025,19,CD_I297566,James Sicily,80,HAW,DEF,658000,406200,108,100,85,CD_M20250141909,85,0,3,0,43,23,7,Hawthorn,Port Adelaide,home,UTAS Stadium,W,4.13805,1.8,4,10,7.62,0,0,0,9816.75480328484,55,5004.09030503944,30,Carlton,67.0282606814039,81.173595047022
2025,19,CD_I990291,Darcy Cameron,40,COL,RUC,1018000,564200,105,130,106,CD_M20250141905,83,21,0,78,0,27,7,Collingwood,Fremantle,home,MCG,L,11.9376,5.7,7,10,10.32,3.8,5,0,9816.75480328484,111,5004.09030503944,119,Richmond,103.700257406792,112.747765449359
2025,19,CD_I998145,Sean Darcy,60,FRE,RUC,652000,394400,87,107,92,CD_M20250141905,69,18,0,67,0,27,12,Fremantle,Collingwood,away,MCG,W,0.56863,0.1,0,0,0.9,0,0,0,9816.75480328484,47,5004.09030503944,39,West Coast Eagles,66.4170607359807,78.8155240929234
2025,19,CD_I1012210,Matt Roberts,160,SYD,DEF,705000,363100,108,69,72,CD_M20250141907,84,0,0,0,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,12.2048,1.3,0,0,15.12,0,0,0,9816.75480328484,86,5004.09030503944,60,GWS Giants,71.8159935872184,72.560640968916
2025,19,CD_I1002222,James Worpel,80,HAW,MID,711000,350000,86,87,106,CD_M20250141909,68,13,0,57,0,23,7,Hawthorn,Port Adelaide,home,UTAS Stadium,W,0.322445,0,0,0,1.68,0,0,0,9816.75480328484,58,5004.09030503944,39,Carlton,72.4271935326416,69.9427825368235
2025,19,CD_I1000972,Willem Drew,110,PTA,MID,721000,385700,113,51,66,CD_M20250141909,89,22,0,96,0,23,9,Port Adelaide,Hawthorn,away,UTAS Stadium,L,0.246696,0,0,0,0.34,0,0,0,9816.75480328484,97,5004.09030503944,124,Adelaide,73.4458601083468,77.0769463555795
2025,19,CD_I296294,Blake Acres,30,CAR,MID,718000,381000,,,,,,,,,,,,,,,,,0.361855,0,0,0,0.53,0,0,0,9816.75480328484,76,5004.09030503944,84,Hawthorn,73.1402601356352,76.1377147043707
2025,19,CD_I998133,Jarrod Berry,20,BRL,MID,888000,474200,103,95,73,CD_M20250141908,80,0,0,0,0,27,4,Brisbane Lions,Western Bulldogs,home,Gabba,W,0.495952,0,0,0,1.25,0,0,0,9816.75480328484,91,5004.09030503944,69,Gold Coast Suns,90.4575919226241,94.7624785113191
