Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,6,CD_I1005577,Sam Draper,50,ESS,RUC/FWD,751000,429300,83,105,95,CD_M20250140603,69,19,0,76,0,25,9,Essendon,Optus Stadium,W,4.66782,0.5,1,0,5.74,0.5,0,0,9868.64902109433,55,5049.58785903834,40,Collingwood,76.099575371941,85.0168393904839,West Coast Eagles,away
2025,6,CD_I280506,Taylor Walker,10,ADE,FWD,719000,419200,111,100,80,CD_M20250140605,94,0,0,0,0,15,10,Adelaide Crows,Adelaide Oval,W,0.479578,0,0,0,0.74,0,0,0,9868.64902109433,62,5049.58785903834,76,Fremantle,72.8569836117518,83.0166761530185,GWS GIANTS,home
2025,6,CD_I994385,Jayden Hunt,150,WCE,DEF/MID,516000,276900,101,72,61,CD_M20250140603,83,0,0,0,0,25,11,West Coast Eagles,Optus Stadium,L,0.343554,0,0,0,0.66,0,0,0,9868.64902109433,48,5049.58785903834,44,Hawthorn,52.2867921330514,54.8361584608082,Essendon,home
2025,6,CD_I1006143,Max King,130,STK,FWD,528000,300400,,,,,,,,,,,,,,,0.148389,0,0,0,0.18,0,0,0,9868.64902109433,54,5049.58785903834,61,,53.5027640431223,59.4900036172871,,
2025,6,CD_I294596,Tim Membrey,40,COL,FWD,579000,334400,,,,,,,,,,,,,,,0.904316,0,0,0,1.23,0,0,0,9868.64902109433,71,5049.58785903834,72,,58.6706446609239,66.2232263968735,,
2025,6,CD_I1028228,Aiden Riddle,60,FRE,RUC,230000,99100,,,,,,,,,,,,,,,1.9882,1.6,2,0,0.26,0.2,0,0,9868.64902109433,23,5049.58785903834,20,,23.3061282763601,19.6253640428534,,
2025,6,CD_I1009195,Dylan Williams,110,PTA,DEF,523000,183600,,,,,,,,,,,,,,,0.142475,0,0,0,0.05,0,0,0,9868.64902109433,53,5049.58785903834,37,,52.9961090805928,36.3594030097667,,
2025,6,CD_I293813,Tom Lynch,120,RIC,FWD,424000,207000,109,72,65,CD_M20250140606,88,0,0,0,0,23,15,Richmond,Marvel Stadium,W,10.7582,0.7,1,0,1.55,0,0,0,9868.64902109433,37,5049.58785903834,17,Melbourne,42.9643408225073,40.993444569835,Gold Coast SUNS,home
2025,6,CD_I1006203,Chayce Jones,10,ADE,MID,613000,322000,,,,,,,,,,,,,,,0.067743,0,0,0,0.07,0,0,0,9868.64902109433,62,5049.58785903834,65,,62.115898406125,63.7675804419655,,
2025,6,CD_I1023167,Brady Hough,150,WCE,DEF,516000,292400,108,55,48,CD_M20250140603,89,0,0,0,0,25,11,West Coast Eagles,Optus Stadium,L,0.336565,0,0,0,0.53,0,0,0,9868.64902109433,69,5049.58785903834,50,Hawthorn,52.2867921330514,57.9057159044432,Essendon,home
2025,6,CD_I993940,Corey Wagner,60,FRE,DEF,618000,328700,,,,,,,,,,,,,,,0.35807,0,0,0,0.43,0,0,0,9868.64902109433,87,5049.58785903834,96,,62.6225533686545,65.0944214014723,,
2025,6,CD_I998484,Cameron Zurhaar,100,NTH,FWD,627000,319000,105,32,30,CD_M20250140602,78,0,0,0,0,38,9,North Melbourne,Marvel Stadium,L,0.513449,0,0,0,0.83,0,0,0,9868.64902109433,106,5049.58785903834,88,Port Adelaide,63.5345323012078,63.1734725496491,Carlton,home
2025,6,CD_I1009301,Jamarra Ugle-Hagan,140,WBD,FWD,640000,355400,,,,,,,,,,,,,,,0.129034,0,0,0,0.36,0,0,0,9868.64902109433,65,5049.58785903834,72,,64.8518352037846,70.3819816430887,,
2025,6,CD_I291351,Jack Gunston,80,HAW,FWD,695000,372300,114,76,96,CD_M20250140609,90,0,0,0,0,27,14,Hawthorn,MCG,L,0.263445,0,0,0,0.45,0,0,0,9868.64902109433,29,5049.58785903834,52,West Coast Eagles,70.4250397916099,73.7287894364713,Geelong Cats,away
2025,6,CD_I1023489,Hudson O'Keeffe,30,CAR,RUC,230000,119900,,,,,,,,,,,,,,,0.131723,0.1,0,0,0.52,0,0,0,9868.64902109433,23,5049.58785903834,24,,23.3061282763601,23.7445120962474,,
